year,geography,record_count,burned_acres,named_record_count,records_with_coordinates,certified_or_final_count,records_with_unknown_month,source_id,source_scope,coverage_tier,coverage_status,provisional,comparable_over_time,causal_smoke_attribution
2002,United States,76128,6824143,43762,76128,76128,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2003,United States,68275,4511188,35488,68275,68275,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2004,United States,69370,8248571,36562,69370,69370,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2005,United States,92921,9710848,38602,92921,92921,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2006,United States,117943,10082825,42862,117943,117943,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2007,United States,98837,9281710,39208,98837,98837,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2008,United States,88306,5427427,33803,88306,88306,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2009,United States,81492,6094980,53898,81492,81492,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2010,United States,85579,3526450,56427,85579,85579,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2011,United States,98903,9673819,80500,98903,98903,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2012,United States,74258,9448555,57417,74258,74258,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2013,United States,66434,4494425,54205,66434,66434,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2014,United States,70480,3676997,56657,70480,70480,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2015,United States,77275,10226168,65515,77275,77275,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2016,United States,81993,5362282,70512,81993,81993,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2017,United States,82279,10245662,67809,82279,82279,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2018,United States,80860,8243602,69456,80860,80860,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2019,United States,63557,4915669,53027,63557,63557,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2020,United States,73262,10495380,58957,73262,73262,0,usfs-fpa-fod-1992-2020,deduplicated final reported wildfire occurrences,all_reported_occurrences,deduplicated_source_release,false,false,false
2021,United States,100458,9384172,100458,92400,18347,0,nifc-inform-fodr-2021-present,"public InFORM wildfire occurrence records, approved and unapproved",live_occurrence_records,live_snapshot_revisionable,false,false,false
2022,United States,124506,8232005,124506,117748,16687,0,nifc-inform-fodr-2021-present,"public InFORM wildfire occurrence records, approved and unapproved",live_occurrence_records,live_snapshot_revisionable,false,false,false
2023,United States,94805,2842867,94805,88809,15399,0,nifc-inform-fodr-2021-present,"public InFORM wildfire occurrence records, approved and unapproved",live_occurrence_records,live_snapshot_revisionable,false,false,false
2024,United States,102323,9132645,102323,96334,17962,0,nifc-inform-fodr-2021-present,"public InFORM wildfire occurrence records, approved and unapproved",live_occurrence_records,live_snapshot_revisionable,false,false,false
2025,United States,109087,4929786,109087,103375,19796,0,nifc-inform-fodr-2021-present,"public InFORM wildfire occurrence records, approved and unapproved",live_occurrence_records,live_snapshot_revisionable,false,false,false
2026,United States,34584,4599896,34584,30609,4361,0,nifc-inform-fodr-2021-present,"public InFORM wildfire occurrence records, approved and unapproved",live_occurrence_records,live_snapshot_revisionable,true,false,false
1950,Canada,1494,1519028,0,1494,1494,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1951,Canada,1875,1262462,0,1875,1875,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1952,Canada,1771,412829,0,1771,1771,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1953,Canada,1347,1463089,0,1347,1347,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1954,Canada,767,23704,0,767,767,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1955,Canada,1350,297226,0,1350,1350,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1956,Canada,1911,562695,0,1911,1911,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1957,Canada,1351,235313,0,1351,1351,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1958,Canada,3135,4314626,0,3135,3135,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1959,Canada,1632,710738,0,1632,1632,9,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1960,Canada,2856,1477297,0,2856,2856,3,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1961,Canada,4219,6864824,785,4219,4219,1,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1962,Canada,1957,803412,279,1957,1957,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1963,Canada,3047,432128,555,3047,3047,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1964,Canada,1712,2814360,361,1712,1712,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1965,Canada,3177,519832,279,3177,3177,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1966,Canada,2718,1229228,405,2718,2718,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1967,Canada,4421,1455451,830,4421,4421,1,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1968,Canada,2767,3122031,615,2767,2767,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1969,Canada,3550,3508292,557,3550,3550,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1970,Canada,5540,3587349,798,5540,5540,4,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1971,Canada,4865,4794542,906,4865,4865,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1972,Canada,4875,1870824,737,4875,4875,24,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1973,Canada,5154,2560196,478,5154,5154,38,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1974,Canada,5021,2254026,598,5021,5021,4,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1975,Canada,6339,2458716,693,6339,6339,10,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1976,Canada,8286,5395608,774,8286,8286,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1977,Canada,7057,3443418,556,7057,7057,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1978,Canada,5778,692005,653,5778,5778,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
1979,Canada,8296,6238247,1000,8296,8296,0,nrcan-nfdb-all-fire-points-2026-06-08,provincial and territorial reported fire point records,all_reported_occurrences,agency_year_coverage_varies,false,false,false
