year,geography,incident_records,reported_name_records,agency_id_only_records,acres,source_dataset,coverage_scope,source_year_status,source_coverage_complete,comparable_to_other_geography
1985,United States,256,210,46,2127242,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
1986,Canada,173,13,160,2430758,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1986,United States,234,202,32,1364572,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
1987,Canada,285,59,226,2422638,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1987,United States,378,306,72,2017956,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
1988,Canada,292,32,260,3246947,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1988,United States,376,304,72,4268877,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
1989,Canada,770,126,644,18648148,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1989,United States,261,185,76,1416876,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
1990,Canada,246,58,188,2283246,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1990,United States,219,180,39,2474978,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
1991,Canada,311,43,268,3732258,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1991,United States,277,208,69,1595015,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
1992,Canada,149,21,128,2045344,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1992,United States,207,167,40,1247421,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
1993,Canada,213,64,149,4763157,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1993,United States,192,149,43,1265738,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
1994,Canada,408,69,339,15248414,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
1994,United States,464,380,84,2408975,MTBS Fire Occurrence Points,"MTBS mapped wildfire: at least 500 acres in the East or 1,000 acres in the West",complete_release_year,true,false
1995,Canada,471,99,372,18399296,Canadian National Fire Database large-fire points,CNFDB reported large-fire point archive: greater than 200 hectares,coverage_varies_by_agency_and_year,false,false
