geography,year,fire_count,burned_acres,records_with_coordinates,source_id,coverage_status,comparable_to_other_geography
United States,2000,96396,7775689,96383,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2001,7732,1614824,7732,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2001,87001,3836399,86433,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2002,7849,6828690,7849,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2002,76128,6824144,75551,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2003,8257,5358466,8257,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2003,68275,4511189,63712,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2004,6470,7865820,6470,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2004,69370,8248571,66797,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2005,7442,4168405,7442,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2005,92921,9710849,87405,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2006,9719,5190900,9719,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2006,117943,10082825,114625,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2007,6911,4411942,6911,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2007,98837,9281711,94180,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2008,6218,4091314,6218,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2008,88306,5427427,87520,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2009,7121,1873854,7121,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2009,81492,6094980,78985,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2010,7315,7855983,7315,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2010,85579,3526451,82844,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2011,4675,5925196,4675,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2011,98903,9673820,95811,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2012,7911,4476892,7896,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2012,74258,9448555,73535,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2013,6246,10547495,6217,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2013,66434,4494424,66341,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2014,5016,11232558,5016,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2014,70480,3676997,70436,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2015,7029,9657805,6995,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2015,77275,10226169,77243,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2016,5235,3252376,5226,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2016,81993,5362282,81949,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2017,5654,8869660,5652,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2017,82279,10245663,82232,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2018,7111,5748553,7064,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2018,80860,8243602,80819,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2019,4062,4413833,4062,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2019,63557,4915668,63513,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2020,4014,539336,4004,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
United States,2020,73262,10495382,73242,usfs-fpa-fod-1992-2020,deduplicated_source_release,false
Canada,2021,6710,10079169,6710,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,2022,5658,3894887,5654,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,2023,6837,43506724,6784,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,2024,5844,13280294,5842,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
Canada,2025,6198,20822852,6172,nrcan-nfdb-all-fire-points-2026-06-08,agency_year_coverage_varies,false
