year,days_pm25_ge_35_5_pop_ge_5m,days_pm25_ge_35_5_pop_ge_10m,days_pm25_ge_35_5_pop_ge_25m,days_pm25_ge_25_0_pop_ge_10m,days_pm25_ge_50_0_pop_ge_10m
2006,0,0,0,0,0
2007,1,0,0,7,0
2008,7,1,0,7,0
2009,0,0,0,0,0
2010,1,0,0,0,0
2011,0,0,0,1,0
2012,0,0,0,0,0
2013,0,0,0,0,0
2014,0,0,0,0,0
2015,2,0,0,2,0
2016,1,1,0,1,0
2017,8,0,0,7,0
2018,17,14,0,17,8
2019,0,0,0,0,0
2020,22,14,5,25,9
2021,16,3,1,13,0
2022,1,0,0,2,0
2023,12,8,7,17,7
