zcta,name,state,population_2020,latitude,longitude,grid_distance_km,smoke_days_aqi101_equiv,mean_smoke_pm25_ug_m3,population_days
01201,ZCTA5 01201,MA,45494,42.448236,-73.273727,5.745,0,0.793,0
01220,ZCTA5 01220,MA,8166,42.623808,-73.116741,8.287,0,0.708,0
01222,ZCTA5 01222,MA,835,42.058703,-73.322175,7.465,2,0.94,1670
01223,ZCTA5 01223,MA,2430,42.312225,-73.110124,9.27,0,0.786,0
01224,ZCTA5 01224,MA,217,42.513163,-73.195743,8.554,0,0.736,0
01225,ZCTA5 01225,MA,3258,42.563401,-73.153335,6.161,0,0.736,0
01226,ZCTA5 01226,MA,6324,42.481119,-73.135073,6.361,0,0.736,0
01229,ZCTA5 01229,MA,189,42.277932,-73.332032,5.561,1,0.845,189
01230,ZCTA5 01230,MA,8907,42.173196,-73.32429,8.524,2,0.94,17814
01235,ZCTA5 01235,MA,2733,42.425677,-73.063028,8.243,0,0.786,0
01236,ZCTA5 01236,MA,1513,42.266496,-73.378393,3.236,1,0.845,1513
01237,ZCTA5 01237,MA,2365,42.549804,-73.261144,3.033,0,0.709,0
01238,ZCTA5 01238,MA,5722,42.297501,-73.230148,5.561,0,0.855,0
01240,ZCTA5 01240,MA,4692,42.367858,-73.269763,9.179,0,0.793,0
01242,ZCTA5 01242,MA,449,42.333734,-73.249199,9.881,0,0.855,0
01243,ZCTA5 01243,MA,175,42.350122,-73.024112,5.109,0,0.79,0
01244,ZCTA5 01244,MA,287,42.118094,-73.257497,1.03,2,0.94,574
01245,ZCTA5 01245,MA,933,42.186893,-73.223105,7.155,0,0.855,0
01247,ZCTA5 01247,MA,15147,42.698526,-73.0843,5.107,0,0.708,0
01253,ZCTA5 01253,MA,808,42.206683,-73.113214,7.73,0,0.851,0
01254,ZCTA5 01254,MA,946,42.382019,-73.365492,5.929,0,0.793,0
01255,ZCTA5 01255,MA,959,42.107496,-73.118607,5.567,2,0.909,1918
01256,ZCTA5 01256,MA,645,42.594166,-73.02232,8.411,0,0.708,0
01257,ZCTA5 01257,MA,2140,42.085244,-73.367483,8.935,2,0.94,4280
01258,ZCTA5 01258,MA,160,42.10928,-73.462886,4.862,2,0.947,320
01259,ZCTA5 01259,MA,643,42.06926,-73.228949,5.456,2,0.94,1286
01260,ZCTA5 01260,MA,233,42.295695,-73.342544,4.481,1,0.845,233
01262,ZCTA5 01262,MA,1758,42.292202,-73.319209,6.384,1,0.845,1758
01264,ZCTA5 01264,MA,219,42.23159,-73.202428,2.126,0,0.855,0
01266,ZCTA5 01266,MA,1208,42.312354,-73.388044,2.354,1,0.845,1208
01267,ZCTA5 01267,MA,7876,42.671617,-73.246981,4.728,0,0.722,0
01270,ZCTA5 01270,MA,755,42.515272,-73.031166,5.372,0,0.736,0
01301,ZCTA5 01301,MA,18042,42.626761,-72.60153,6.597,0,0.695,0
01330,ZCTA5 01330,MA,1500,42.513947,-72.821517,7.424,0,0.74,0
01331,ZCTA5 01331,MA,13656,42.562394,-72.191044,8.591,1,0.757,13656
01337,ZCTA5 01337,MA,2562,42.689307,-72.582289,4.006,0,0.665,0
01338,ZCTA5 01338,MA,127,42.572488,-72.824145,6.297,0,0.705,0
01339,ZCTA5 01339,MA,1487,42.603776,-72.889644,4.339,0,0.705,0
01340,ZCTA5 01340,MA,1803,42.694731,-72.710956,9.697,0,0.665,0
01341,ZCTA5 01341,MA,1539,42.492124,-72.709827,5.319,0,0.728,0
01342,ZCTA5 01342,MA,1538,42.543889,-72.609458,5.922,0,0.695,0
01343,ZCTA5 01343,MA,165,42.657625,-72.978933,4.863,0,0.708,0
01344,ZCTA5 01344,MA,1665,42.613418,-72.426428,7.545,0,0.701,0
01346,ZCTA5 01346,MA,352,42.693268,-72.823116,7.656,0,0.705,0
