zcta,name,state,population_2020,latitude,longitude,land_sq_mi
32024,ZCTA5 32024,FL,20106,30.091975,-82.73112,142.999
32025,ZCTA5 32025,FL,21886,30.107097,-82.579111,97.412
32026,ZCTA5 32026,FL,1863,30.054149,-82.181681,0.651
32033,ZCTA5 32033,FL,4789,29.788112,-81.434324,77.01
32034,ZCTA5 32034,FL,38167,30.606044,-81.496098,56.692
32038,ZCTA5 32038,FL,10141,29.934936,-82.692234,107.272
32040,ZCTA5 32040,FL,7958,30.243509,-82.238887,121.739
32043,ZCTA5 32043,FL,30369,29.937039,-81.732587,202.724
32044,ZCTA5 32044,FL,1629,29.857892,-82.178704,23.309
32046,ZCTA5 32046,FL,9626,30.701152,-81.916587,193.029
32052,ZCTA5 32052,FL,8462,30.486131,-82.936084,276.503
32053,ZCTA5 32053,FL,3815,30.575476,-83.126068,123.173
32054,ZCTA5 32054,FL,12789,30.033807,-82.394253,214.069
32055,ZCTA5 32055,FL,16624,30.270103,-82.62413,187.572
32058,ZCTA5 32058,FL,4386,30.107546,-82.106933,72.152
32059,ZCTA5 32059,FL,2594,30.384943,-83.25597,118.341
32060,ZCTA5 32060,FL,22111,30.274413,-83.036329,396.042
32061,ZCTA5 32061,FL,364,30.097557,-82.51033,22.002
32062,ZCTA5 32062,FL,2547,30.137457,-82.978338,61.682
32063,ZCTA5 32063,FL,14360,30.24767,-82.112978,102.202
32064,ZCTA5 32064,FL,7495,30.295625,-82.984108,7.75
32065,ZCTA5 32065,FL,40164,30.152238,-81.797016,17.205
32066,ZCTA5 32066,FL,6844,30.039764,-83.205806,276.902
32068,ZCTA5 32068,FL,57458,30.083283,-81.891075,101.091
32071,ZCTA5 32071,FL,3854,30.058101,-82.955828,105.615
32072,ZCTA5 32072,FL,176,30.18816,-82.424491,26.813
32073,ZCTA5 32073,FL,43527,30.169821,-81.739144,16.487
32079,ZCTA5 32079,FL,517,29.977993,-81.807021,0.492
32080,ZCTA5 32080,FL,21889,29.818745,-81.27286,15.543
32081,ZCTA5 32081,FL,24672,30.125788,-81.410496,38.15
32082,ZCTA5 32082,FL,31861,30.111553,-81.371747,33.301
32083,ZCTA5 32083,FL,2626,30.114597,-82.232781,40.1
32084,ZCTA5 32084,FL,34526,29.918419,-81.367545,47.611
32086,ZCTA5 32086,FL,31452,29.766738,-81.30637,65.773
32087,ZCTA5 32087,FL,5507,30.377434,-82.28046,135.05
32091,ZCTA5 32091,FL,17806,29.928819,-82.12774,133.419
32092,ZCTA5 32092,FL,43691,29.934156,-81.511955,125.93
32094,ZCTA5 32094,FL,2862,30.186943,-82.82182,57.88
32095,ZCTA5 32095,FL,16607,30.022752,-81.406577,49.798
32096,ZCTA5 32096,FL,2791,30.53438,-82.626965,162.41
32097,ZCTA5 32097,FL,23564,30.661173,-81.618704,132.853
32102,ZCTA5 32102,FL,2768,29.137291,-81.546429,62.951
32110,ZCTA5 32110,FL,8776,29.428804,-81.339209,264.634
32112,ZCTA5 32112,FL,7460,29.431746,-81.565573,53.113
32113,ZCTA5 32113,FL,6396,29.409977,-82.089218,81.7
32114,ZCTA5 32114,FL,34943,29.192391,-81.04676,16.907
32117,ZCTA5 32117,FL,28223,29.235588,-81.063969,11.304
32118,ZCTA5 32118,FL,17906,29.209639,-81.002321,4.236
32119,ZCTA5 32119,FL,22498,29.160962,-81.025593,7.864
32124,ZCTA5 32124,FL,8793,29.17079,-81.141179,45.125
32127,ZCTA5 32127,FL,29999,29.106272,-80.97367,15.827
32128,ZCTA5 32128,FL,20968,29.100739,-81.071829,33.415
32129,ZCTA5 32129,FL,21594,29.136974,-81.023957,7.435
32130,ZCTA5 32130,FL,5485,29.148342,-81.341043,92.374
32131,ZCTA5 32131,FL,4806,29.684293,-81.562375,33.648
32132,ZCTA5 32132,FL,8189,28.980108,-80.920894,7.504
32133,ZCTA5 32133,FL,310,29.020177,-81.909262,0.353
32134,ZCTA5 32134,FL,7938,29.385007,-81.837948,240.469
32136,ZCTA5 32136,FL,8432,29.463763,-81.147395,18.743
32137,ZCTA5 32137,FL,46258,29.581521,-81.21819,59.049
32139,ZCTA5 32139,FL,1399,29.375752,-81.589416,12.148
32140,ZCTA5 32140,FL,1822,29.762604,-81.866657,27.479
32141,ZCTA5 32141,FL,17955,28.928812,-80.919083,23.519
32145,ZCTA5 32145,FL,5608,29.677558,-81.421332,92.414
32147,ZCTA5 32147,FL,1219,29.590843,-81.777145,17.055
32148,ZCTA5 32148,FL,10979,29.616999,-81.883688,84.689
32157,ZCTA5 32157,FL,506,29.467548,-81.578498,1.576
32159,ZCTA5 32159,FL,30455,28.933203,-81.898509,31.757
32162,ZCTA5 32162,FL,51905,28.910718,-81.986559,23.229
32164,ZCTA5 32164,FL,49412,29.487697,-81.209696,33.303
32168,ZCTA5 32168,FL,30058,28.963912,-81.029436,164.156
32169,ZCTA5 32169,FL,10621,28.959805,-80.867799,14.645
32174,ZCTA5 32174,FL,53097,29.284784,-81.161348,123.617
32176,ZCTA5 32176,FL,14410,29.331582,-81.062507,5.261
32177,ZCTA5 32177,FL,25380,29.697699,-81.703239,238.574
32179,ZCTA5 32179,FL,9075,29.088109,-81.895088,68.917
32180,ZCTA5 32180,FL,3834,29.236302,-81.396684,107.091
