year,geography,rank,fire_name,label_kind,normalized_record_id,source_record_id,region,latitude,longitude,acres,source_dataset,provisional,causal_smoke_attribution
1992,United States,2,Black Ridge,reported_name,mtbs:ID4308811381819920802,ID4308811381819920802,Idaho,43.08846,-113.818,147957,MTBS Fire Occurrence Points,false,false
1992,United States,3,Fountain,reported_name,mtbs:CA4084612185219920820,CA4084612185219920820,California,40.84603,-121.85174,62301,MTBS Fire Occurrence Points,false,false
1993,Canada,1,Deer,reported_name,nrcan-nfdb:7645,SK-1993-DEER,Saskatchewan,55.1719,-109.2604,745555,Canadian National Fire Database large-fire points,false,false
1993,Canada,2,Dino,reported_name,nrcan-nfdb:9806,SK-1993-DINO,Saskatchewan,56.1823,-103.1354,127753,Canadian National Fire Database large-fire points,false,false
1993,Canada,3,Wilma2,reported_name,nrcan-nfdb:7883,SK-1993-WILMA2,Saskatchewan,57.3698,-102.9271,123553,Canadian National Fire Database large-fire points,false,false
1993,United States,1,332557,reported_name,mtbs:AK6583214355319930714,AK6583214355319930714,Alaska,65.8317,-143.55293,214170,MTBS Fire Occurrence Points,false,false
1993,United States,2,3322292,reported_name,mtbs:AK6606114286419930606,AK6606114286419930606,Alaska,66.13137,-142.86882,60748,MTBS Fire Occurrence Points,false,false
1993,United States,3,332248,reported_name,mtbs:AK6580114976419930604,AK6580114976419930604,Alaska,65.80086,-149.76387,39886,MTBS Fire Occurrence Points,false,false
1994,Canada,1,Time,reported_name,nrcan-nfdb:8235,SK-1994-TIME,Saskatchewan,58.6823,-106.3646,373979,Canadian National Fire Database large-fire points,false,false
1994,Canada,2,Kirsh,reported_name,nrcan-nfdb:8237,SK-1994-KIRSH,Saskatchewan,57.9896,-105.5208,370658,Canadian National Fire Database large-fire points,false,false
1994,Canada,3,Green,reported_name,nrcan-nfdb:8558,SK-1994-GREEN,Saskatchewan,59.3906,-104.5729,134302,Canadian National Fire Database large-fire points,false,false
1994,United States,1,Corral Creek-Blackwell Complex,reported_name,mtbs:ID4515511602719940802,ID4515511602719940802,Idaho,45.1552,-116.02705,139998,MTBS Fire Occurrence Points,false,false
1994,United States,2,Baby Dean,reported_name,mtbs:MT4550810679219940908,MT4550810679219940908,Montana,45.50845,-106.79221,61933,MTBS Fire Occurrence Points,false,false
1994,United States,3,41,reported_name,mtbs:CA3539212068319940814,CA3539212068319940814,California,35.39178,-120.6826,48452,MTBS Fire Occurrence Points,false,false
1995,Canada,1,Tocker,reported_name,nrcan-nfdb:8706,SK-1995-TOCKER,Saskatchewan,56.9948,-109.25,607879,Canadian National Fire Database large-fire points,false,false
1995,Canada,2,Moose01,reported_name,nrcan-nfdb:8888,SK-1995-MOOSE01,Saskatchewan,54.8073,-109.3646,345948,Canadian National Fire Database large-fire points,false,false
1995,Canada,3,Dl1009,reported_name,nrcan-nfdb:6570,AB-1995-DL1-009-95,Alberta,56.0806,-112.2983,327856,Canadian National Fire Database large-fire points,false,false
1995,United States,1,Tuana Complex,reported_name,mtbs:ID4243011543019950729,ID4243011543019950729,Idaho,42.43039,-115.43016,80611,MTBS Fire Occurrence Points,false,false
1995,United States,2,Redlam,reported_name,mtbs:UT4072211291219950827,UT4072211291219950827,Utah,40.72239,-112.91228,35400,MTBS Fire Occurrence Points,false,false
1995,United States,3,Twin Butte,reported_name,mtbs:ID4273911507119950728,ID4273911507119950728,Idaho,42.73857,-115.07081,32552,MTBS Fire Occurrence Points,false,false
1996,Canada,1,Zangeza,reported_name,nrcan-nfdb:8201,SK-1996-ZANGEZA,Saskatchewan,58.2031,-102.0313,8649,Canadian National Fire Database large-fire points,false,false
1996,Canada,2,Whigham,reported_name,nrcan-nfdb:8230,SK-1996-WHIGHAM,Saskatchewan,58.7344,-104.5938,6338,Canadian National Fire Database large-fire points,false,false
1996,Canada,3,Wally,reported_name,nrcan-nfdb:8912,SK-1996-WALLY,Saskatchewan,53.849,-105.1771,3707,Canadian National Fire Database large-fire points,false,false
1996,United States,1,Coxs Well,reported_name,mtbs:ID4318311309619960827,ID4318311309619960827,Idaho,43.1828,-113.09597,219407,MTBS Fire Occurrence Points,false,false
1996,United States,2,Leamington Complex (Wash),reported_name,mtbs:UT3978911229219960802,UT3978911229219960802,Utah,39.71897,-112.19661,161106,MTBS Fire Occurrence Points,false,false
1996,United States,3,Simnasho,reported_name,mtbs:OR4487312131019960810,OR4487312131019960810,Oregon,44.91044,-121.23269,118426,MTBS Fire Occurrence Points,false,false
1997,Canada,1,Mawdsley,reported_name,nrcan-nfdb:7866,SK-1997-MAWDSLEY,Saskatchewan,56.6823,-106.3854,939,Canadian National Fire Database large-fire points,false,false
1997,Canada,2,Wind,reported_name,nrcan-nfdb:9350,SK-1997-WIND,Saskatchewan,53.1198,-104.8854,865,Canadian National Fire Database large-fire points,false,false
1997,Canada,3,Hatchet,reported_name,nrcan-nfdb:9547,SK-1997-HATCHET,Saskatchewan,58.1927,-103.6146,741,Canadian National Fire Database large-fire points,false,false
1997,United States,1,Garfield Creek,reported_name,mtbs:AK6541616436919970722,AK6541616436919970722,Alaska,65.43393,-164.41226,77430,MTBS Fire Occurrence Points,false,false
1997,United States,2,Logan,reported_name,mtbs:CA3511312010319970804,CA3511312010319970804,California,35.11291,-120.10322,49684,MTBS Fire Occurrence Points,false,false
1997,United States,3,B 484,reported_name,mtbs:AK6613814322119970703,AK6613814322119970703,Alaska,66.13822,-143.22054,44810,MTBS Fire Occurrence Points,false,false
1998,Canada,1,Abat,reported_name,nrcan-nfdb:9269,SK-1998-ABAT,Saskatchewan,56.1823,-109.5313,348419,Canadian National Fire Database large-fire points,false,false
1998,Canada,2,Lasoup,reported_name,nrcan-nfdb:9141,SK-1998-LASOUP,Saskatchewan,56.4948,-106.3646,296526,Canadian National Fire Database large-fire points,false,false
1998,Canada,3,Bing,reported_name,nrcan-nfdb:9039,SK-1998-BING,Saskatchewan,58.6406,-104.5313,175445,Canadian National Fire Database large-fire points,false,false
1998,United States,1,Carla Lake,reported_name,mtbs:AK6406014607919980521,AK6406014607919980521,Alaska,64.05981,-146.07897,62462,MTBS Fire Occurrence Points,false,false
1998,United States,2,Annual Bur,reported_name,mtbs:KS3847509656719980401,KS3847509656719980401,Kansas,38.47505,-96.56714,60063,MTBS Fire Occurrence Points,false,false
1998,United States,3,Ciblo Creek Fire,reported_name,mtbs:TX2993910441119980530,TX2993910441119980530,Texas,29.93601,-104.41282,51729,MTBS Fire Occurrence Points,false,false
1999,Canada,1,Whiskey,reported_name,nrcan-nfdb:8121,SK-1999-WHISKEY,Saskatchewan,59.849,-108.6146,89516,Canadian National Fire Database large-fire points,false,false
1999,Canada,2,Darcy,reported_name,nrcan-nfdb:9110,SK-1999-DARCY,Saskatchewan,56.6615,-109.4688,71937,Canadian National Fire Database large-fire points,false,false
1999,Canada,3,Sixty,reported_name,nrcan-nfdb:8597,SK-1999-SIXTY,Saskatchewan,59.9427,-107.2188,41492,Canadian National Fire Database large-fire points,false,false
1999,United States,1,Kevinjik,reported_name,mtbs:AK6667114200419990620,AK6667114200419990620,Alaska,66.67139,-142.00424,252778,MTBS Fire Occurrence Points,false,false
1999,United States,2,Dun Glenn Complex (Poker Brown),reported_name,mtbs:NV4050111851919990804,NV4050111851919990804,Nevada,40.5012,-118.5189,236353,MTBS Fire Occurrence Points,false,false
1999,United States,3,Sadler Complex,reported_name,mtbs:NV4034111594019990805,NV4034111594019990805,Nevada,40.34107,-115.94049,183801,MTBS Fire Occurrence Points,false,false
2000,Canada,1,Kevin1,reported_name,nrcan-nfdb:7587,SK-2000-KEVIN1,Saskatchewan,59.4323,-107.8646,107988,Canadian National Fire Database large-fire points,false,false
2000,Canada,2,Dunlop,reported_name,nrcan-nfdb:8682,SK-2000-DUNLOP,Saskatchewan,57.474,-107.0521,98471,Canadian National Fire Database large-fire points,false,false
2000,Canada,3,Tea,reported_name,nrcan-nfdb:9007,SK-2000-TEA,Saskatchewan,59.849,-107.8333,47331,Canadian National Fire Database large-fire points,false,false
2000,United States,1,Diamond Complex (Diamond Peak),reported_name,mtbs:ID4505611489120000731,ID4505611489120000731,Idaho,45.05599,-114.89142,271336,MTBS Fire Occurrence Points,false,false
2000,United States,2,Clear Creek Divide Complex (Clear Creek),reported_name,mtbs:ID4519911434120000710,ID4519911434120000710,Idaho,45.19863,-114.34067,170370,MTBS Fire Occurrence Points,false,false
2000,United States,3,Zitziana,reported_name,mtbs:AK6467315092520000613,AK6467315092520000613,Alaska,64.67278,-150.92465,167664,MTBS Fire Occurrence Points,false,false
2001,Canada,1,Mackenzie1,reported_name,nrcan-nfdb:8668,SK-2001-MACKENZIE1,Saskatchewan,57.8025,-102.672,90589,Canadian National Fire Database large-fire points,false,false
2001,Canada,2,John1,reported_name,nrcan-nfdb:8321,SK-2001-JOHN1,Saskatchewan,57.6833,-104.283,64989,Canadian National Fire Database large-fire points,false,false
2001,Canada,3,Zengle,reported_name,nrcan-nfdb:8267,SK-2001-ZENGLE,Saskatchewan,57.945,-102.233,54116,Canadian National Fire Database large-fire points,false,false
2001,United States,1,Big Juniper,reported_name,mtbs:OR4295411972520010808,OR4295411972520010808,Oregon,42.9543,-119.72498,95236,MTBS Fire Occurrence Points,false,false
2001,United States,2,Sheep,reported_name,mtbs:NV4077411679420010809,NV4077411679420010809,Nevada,40.77424,-116.79433,85037,MTBS Fire Occurrence Points,false,false
2001,United States,3,Fish Creek,reported_name,mtbs:AK6431714867020010620,AK6431714867020010620,Alaska,64.31732,-148.67045,83306,MTBS Fire Occurrence Points,false,false
2002,Canada,1,Dobbin,reported_name,nrcan-nfdb:8727,SK-2002-DOBBIN,Saskatchewan,56.7333,-104.864,373440,Canadian National Fire Database large-fire points,false,false
2002,Canada,2,Meadow1,reported_name,nrcan-nfdb:7632,SK-2002-MEADOW1,Saskatchewan,56.2945,-108.794,186387,Canadian National Fire Database large-fire points,false,false
2002,Canada,3,Nagle,reported_name,nrcan-nfdb:9152,SK-2002-NAGLE,Saskatchewan,56.2237,-105.143,175445,Canadian National Fire Database large-fire points,false,false
2002,United States,1,Rodeo,reported_name,mtbs:AZ3423311046320020618,AZ3423311046320020618,Arizona,34.23326,-110.46325,461451,MTBS Fire Occurrence Points,false,false
2002,United States,2,Geskakmina Lake,reported_name,mtbs:AK6452215036320020608,AK6452215036320020608,Alaska,64.49976,-150.61082,260185,MTBS Fire Occurrence Points,false,false
2002,United States,3,Reindeer,reported_name,mtbs:AK6232015915020020717,AK6232015915020020717,Alaska,62.31972,-159.14996,225602,MTBS Fire Occurrence Points,false,false
2003,Canada,1,Conibear Lake,reported_name,nrcan-nfdb:18457,PC-WB-2003-WB-7,Parks Canada,59.5872,-113.0,209521,Canadian National Fire Database large-fire points,false,false
2003,Canada,2,Syncline PB,reported_name,nrcan-nfdb:18672,PC-JA-2003-JA-3,Parks Canada,53.16,-117.9339,69493,Canadian National Fire Database large-fire points,false,false
2003,Canada,3,Pasture,reported_name,nrcan-nfdb:8497,SK-2003-PASTURE,Saskatchewan,53.7443,-105.479,51961,Canadian National Fire Database large-fire points,false,false
2003,United States,1,Cedar,reported_name,mtbs:CA3293911676620031025,CA3293911676620031025,California,32.93857,-116.76554,268142,MTBS Fire Occurrence Points,false,false
2003,United States,2,Missouri Breaks Complex,reported_name,mtbs:MT4751410764220030719,MT4751410764220030719,Montana,47.42637,-107.68019,137971,MTBS Fire Occurrence Points,false,false
2003,United States,3,Erickson Creek,reported_name,mtbs:AK6562714891520030617,AK6562714891520030617,Alaska,65.62695,-148.91507,119594,MTBS Fire Occurrence Points,false,false
2004,Canada,1,Klewi,reported_name,nrcan-nfdb:18281,PC-WB-2004-WB-3,Parks Canada,59.8292,-113.9639,224767,Canadian National Fire Database large-fire points,false,false
2004,Canada,2,Angus Pine 1,reported_name,nrcan-nfdb:18283,PC-WB-2004-WB-21,Parks Canada,60.2858,-114.0881,128421,Canadian National Fire Database large-fire points,false,false
2004,Canada,3,04La-George,reported_name,nrcan-nfdb:8336,SK-2004-04LA-GEORGE,Saskatchewan,56.1048,-106.166,63323,Canadian National Fire Database large-fire points,false,false
2004,United States,1,Boundary,reported_name,mtbs:AK6526314694320040613,AK6526314694320040613,Alaska,65.2629,-146.94307,537728,MTBS Fire Occurrence Points,false,false
2004,United States,2,Dall City,reported_name,mtbs:AK6628114999320040706,AK6628114999320040706,Alaska,66.28092,-149.99269,530540,MTBS Fire Occurrence Points,false,false
2004,United States,3,Taylor Highway Complex (Billy Creek),reported_name,mtbs:AK6377414344020040618,AK6377414344020040618,Alaska,63.77421,-143.44031,460335,MTBS Fire Occurrence Points,false,false
2005,Canada,1,05La-Howes,reported_name,nrcan-nfdb:7901,SK-2005-05LA-HOWES,Saskatchewan,56.742,-105.134,74905,Canadian National Fire Database large-fire points,false,false
2005,Canada,2,05Ll-Pascal,reported_name,nrcan-nfdb:7623,SK-2005-05LL-PASCAL,Saskatchewan,57.372,-109.916,53869,Canadian National Fire Database large-fire points,false,false
2005,Canada,3,05Se-Windrum,reported_name,nrcan-nfdb:9172,SK-2005-05SE-WINDRUM,Saskatchewan,56.11,-104.169,49421,Canadian National Fire Database large-fire points,false,false
2005,United States,1,Southern Nevada Complex (Duzak),reported_name,mtbs:NV3724211430320050622,NV3724211430320050622,Nevada,37.15585,-114.22465,327383,MTBS Fire Occurrence Points,false,false
2005,United States,2,Salmon Fork,reported_name,mtbs:AK6640514222320050719,AK6640514222320050719,Alaska,66.40508,-142.22302,255430,MTBS Fire Occurrence Points,false,false
2005,United States,3,Cave Creek Complex,reported_name,mtbs:AZ3424311187720050621,AZ3424311187720050621,Arizona,34.07035,-111.90814,245997,MTBS Fire Occurrence Points,false,false
2006,Canada,1,06Ll-Murzin,reported_name,nrcan-nfdb:7843,SK-2006-06LL-MURZIN,Saskatchewan,57.8053,-109.543,515314,Canadian National Fire Database large-fire points,false,false
2006,Canada,2,06Sr-Royal,reported_name,nrcan-nfdb:7767,SK-2006-06SR-ROYAL,Saskatchewan,59.1042,-108.616,440507,Canadian National Fire Database large-fire points,false,false
2006,Canada,3,06Sr-Supper,reported_name,nrcan-nfdb:9025,SK-2006-06SR-SUPPER,Saskatchewan,59.069,-107.889,345619,Canadian National Fire Database large-fire points,false,false
2006,United States,1,East Amarillo Complex,reported_name,mtbs:TX3551510078020060312,TX3551510078020060312,Texas,35.52155,-100.78387,593293,MTBS Fire Occurrence Points,false,false
2006,United States,2,Winters,reported_name,mtbs:NV4142111667920060725,NV4142111667920060725,Nevada,41.42089,-116.67899,242689,MTBS Fire Occurrence Points,false,false
2006,United States,3,Crystal,reported_name,mtbs:ID4310411315820060815,ID4310411315820060815,Idaho,43.10422,-113.15843,218571,MTBS Fire Occurrence Points,false,false
2007,Canada,1,Jordin Creek,reported_name,nrcan-nfdb:18312,PC-WB-2007-WB-2,Parks Canada,59.1778,-112.8969,309396,Canadian National Fire Database large-fire points,false,false
2007,Canada,2,Lake One,reported_name,nrcan-nfdb:18326,PC-WB-2007-WB-1,Parks Canada,59.0233,-112.5347,220428,Canadian National Fire Database large-fire points,false,false
2007,Canada,3,07Bn-Elmer,reported_name,nrcan-nfdb:8256,SK-2007-07BN-ELMER,Saskatchewan,57.3613,-106.004,200909,Canadian National Fire Database large-fire points,false,false
2007,United States,1,Murphy Complex,reported_name,mtbs:ID4216011532120070721,ID4216011532120070721,Idaho,42.16024,-115.32143,567212,MTBS Fire Occurrence Points,false,false
2007,United States,2,Milford Flat,reported_name,mtbs:UT3868911273920070706,UT3868911273920070706,Utah,38.68929,-112.73904,348702,MTBS Fire Occurrence Points,false,false
2007,United States,3,Big Turnaround Complex,reported_name,mtbs:GA3067208246020070425,GA3067208246020070425,Georgia,30.60495,-82.34698,328707,MTBS Fire Occurrence Points,false,false
2008,Canada,1,08Sr-Creek,reported_name,nrcan-nfdb:7579,SK-2008-08SR-CREEK,Saskatchewan,59.2042,-104.608,338967,Canadian National Fire Database large-fire points,false,false
2008,Canada,2,08Pn-Mirond,reported_name,nrcan-nfdb:8477,SK-2008-08PN-MIROND,Saskatchewan,55.2382,-102.767,227520,Canadian National Fire Database large-fire points,false,false
2008,Canada,3,08Sr-Viking,reported_name,nrcan-nfdb:8956,SK-2008-08SR-VIKING,Saskatchewan,59.5843,-108.283,210966,Canadian National Fire Database large-fire points,false,false
2008,United States,1,Glass,reported_name,mtbs:TX3160710111020080225,TX3160710111020080225,Texas,31.60677,-101.10978,196982,MTBS Fire Occurrence Points,false,false
2008,United States,2,Basin Complex,reported_name,mtbs:CA3621212157820080621,CA3621212157820080621,California,36.25619,-121.63751,164453,MTBS Fire Occurrence Points,false,false
2008,United States,3,Dunn Mtn. Assist,reported_name,mtbs:MT4621810818620080821,MT4621810818620080821,Montana,46.21776,-108.18634,105537,MTBS Fire Occurrence Points,false,false
2009,Canada,1,Pelican Creek,reported_name,nrcan-nfdb:18590,PC-WB-2009-WB-1,Parks Canada,58.6069,-111.6958,47820,Canadian National Fire Database large-fire points,false,false
2009,Canada,2,09Ll-Patterson,reported_name,nrcan-nfdb:7842,SK-2009-09LL-PATTERSON,Saskatchewan,57.785,-109.289,15073,Canadian National Fire Database large-fire points,false,false
2009,Canada,3,09Ll-Quest,reported_name,nrcan-nfdb:9117,SK-2009-09LL-QUEST,Saskatchewan,57.0023,-109.967,13344,Canadian National Fire Database large-fire points,false,false
2009,United States,1,Railbelt Complex (Minto Flats South),reported_name,mtbs:AK6457914968420090621,AK6457914968420090621,Alaska,64.57941,-149.68436,523418,MTBS Fire Occurrence Points,false,false
2009,United States,2,Station,reported_name,mtbs:CA3432711813620090826,CA3432711813620090826,California,34.32658,-118.13629,165285,MTBS Fire Occurrence Points,false,false
2009,United States,3,Tonclonukna Creek,reported_name,mtbs:AK6335015356320090523,AK6335015356320090523,Alaska,63.28504,-153.29581,158922,MTBS Fire Occurrence Points,false,false
2010,Canada,1,10Sr-Pasfield,reported_name,nrcan-nfdb:7778,SK-2010-10SR-PASFIELD,Saskatchewan,58.2667,-105.583,1119743,Canadian National Fire Database large-fire points,false,false
2010,Canada,2,10Sr-Ryan,reported_name,nrcan-nfdb:8616,SK-2010-10SR-RYAN,Saskatchewan,58.902,-106.824,472750,Canadian National Fire Database large-fire points,false,false
2010,Canada,3,10Bn-Garret,reported_name,nrcan-nfdb:7845,SK-2010-10BN-GARRET,Saskatchewan,58.1667,-107.167,321237,Canadian National Fire Database large-fire points,false,false
2010,United States,1,Long Butte,reported_name,mtbs:ID4275711507020100821,ID4275711507020100821,Idaho,42.66838,-115.16408,302474,MTBS Fire Occurrence Points,false,false
2010,United States,2,Toklat 2,reported_name,mtbs:AK6434715059120100604,AK6434715059120100604,Alaska,64.23639,-150.89302,146470,MTBS Fire Occurrence Points,false,false
2010,United States,3,Jefferson,reported_name,mtbs:ID4367911257020100713,ID4367911257020100713,Idaho,43.67945,-112.56961,108497,MTBS Fire Occurrence Points,false,false
2011,Canada,1,11Ll-Gerald,reported_name,nrcan-nfdb:8313,SK-2011-11LL-GERALD,Saskatchewan,57.0485,-109.646,245571,Canadian National Fire Database large-fire points,false,false
2011,Canada,2,11Sr-Point,reported_name,nrcan-nfdb:7585,SK-2011-11SR-POINT,Saskatchewan,59.5583,-109.642,171924,Canadian National Fire Database large-fire points,false,false
2011,Canada,3,Richardson,reported_name,nrcan-nfdb:18631,PC-WB-2011-2011-WB-2,Parks Canada,58.1013,-111.1863,115628,Canadian National Fire Database large-fire points,false,false
2011,United States,1,Wallow,reported_name,mtbs:AZ3360210944920110529,AZ3360210944920110529,Arizona,33.79804,-109.29495,563564,MTBS Fire Occurrence Points,false,false
2011,United States,2,Rock House,reported_name,mtbs:TX3031210406220110409,TX3031210406220110409,Texas,30.68354,-103.93645,299011,MTBS Fire Occurrence Points,false,false
2011,United States,3,Horseshoe 2,reported_name,mtbs:AZ3182010921120110508,AZ3182010921120110508,Arizona,31.89172,-109.29944,226042,MTBS Fire Occurrence Points,false,false
2012,Canada,1,Bolton Creek,reported_name,nrcan-nfdb:18649,PC-WB-2012-2012WB1,Parks Canada,58.095,-113.368,283252,Canadian National Fire Database large-fire points,false,false
2012,Canada,2,Hoohey creek,reported_name,nrcan-nfdb:18547,PC-WB-2012-2012WB9,Parks Canada,59.677,-115.568,153104,Canadian National Fire Database large-fire points,false,false
2012,Canada,3,12Sr-Trout,reported_name,nrcan-nfdb:8246,SK-2012-12SR-TROUT,Saskatchewan,58.61667,-108.41667,131334,Canadian National Fire Database large-fire points,false,false
2012,United States,1,Long Draw,reported_name,mtbs:OR4239211789420120708,OR4239211789420120708,Oregon,42.44043,-117.63663,557211,MTBS Fire Occurrence Points,false,false
2012,United States,2,Holloway,reported_name,mtbs:NV4197311836620120805,NV4197311836620120805,Nevada,42.01199,-118.25294,457680,MTBS Fire Occurrence Points,false,false
2012,United States,3,Mustang Complex,reported_name,mtbs:ID4542411459020120730,ID4542411459020120730,Idaho,45.46471,-114.51635,377684,MTBS Fire Occurrence Points,false,false
2013,Canada,1,13Lx-Timson,reported_name,nrcan-nfdb:9496,SK-2013-13LX-TIMSON,Saskatchewan,58.112,-106.18517,302580,Canadian National Fire Database large-fire points,false,false
2013,Canada,2,13Sr-Snare,reported_name,nrcan-nfdb:8217,SK-2013-13SR-SNARE,Saskatchewan,58.71754,-107.99589,186112,Canadian National Fire Database large-fire points,false,false
2013,Canada,3,13Sr-Helmer,reported_name,nrcan-nfdb:8209,SK-2013-13SR-HELMER,Saskatchewan,59.24387,-107.38938,90327,Canadian National Fire Database large-fire points,false,false
2013,United States,1,Rim,reported_name,mtbs:CA3785712008620130817,CA3785712008620130817,California,37.90462,-119.93874,257334,MTBS Fire Occurrence Points,false,false
2013,United States,2,Lime Hills,reported_name,mtbs:AK6145515569120130531,AK6145515569120130531,Alaska,61.52067,-155.47595,193970,MTBS Fire Occurrence Points,false,false
2013,United States,3,Pony Complex,reported_name,mtbs:ID4329411554820130809,ID4329411554820130809,Idaho,43.38456,-115.68752,148112,MTBS Fire Occurrence Points,false,false
2014,Canada,1,Fire 25,reported_name,nrcan-nfdb:18388,PC-WB-2014-2014WB25,Parks Canada,60.38272,-115.51987,212307,Canadian National Fire Database large-fire points,false,false
2014,Canada,2,14Lx-Lansdowne,reported_name,nrcan-nfdb:7846,SK-2014-14LX-LANSDOWNE,Saskatchewan,57.52425,-107.00597,193377,Canadian National Fire Database large-fire points,false,false
2014,Canada,3,Fire 28,reported_name,nrcan-nfdb:18433,PC-WB-2014-2014WB28,Parks Canada,60.37275,-114.30242,151445,Canadian National Fire Database large-fire points,false,false
2014,United States,1,Saddle Draw,reported_name,mtbs:OR4332411821620140714,OR4332411821620140714,Oregon,43.30257,-118.10047,283891,MTBS Fire Occurrence Points,false,false
2014,United States,2,Funny River,reported_name,mtbs:AK6043915096220140520,AK6043915096220140520,Alaska,60.34057,-150.79336,193705,MTBS Fire Occurrence Points,false,false
2014,United States,3,Happy Camp Complex,reported_name,mtbs:CA4179612337420140814,CA4179612337420140814,California,41.72413,-123.19784,118399,MTBS Fire Occurrence Points,false,false
2015,Canada,1,15Bn-Ron,reported_name,nrcan-nfdb:9191,SK-2015-15BN-RON,Saskatchewan,56.85,-108.23333,605993,Canadian National Fire Database large-fire points,false,false
2015,Canada,2,15Lx-Forcier,reported_name,nrcan-nfdb:8779,SK-2015-15LX-FORCIER,Saskatchewan,56.08795,-107.62788,441869,Canadian National Fire Database large-fire points,false,false
2015,Canada,3,15Lx-Senyk,reported_name,nrcan-nfdb:8458,SK-2015-15LX-SENYK,Saskatchewan,55.52273,-106.7141,345966,Canadian National Fire Database large-fire points,false,false
2015,United States,1,Middle Yukon Fires,reported_name,mtbs:AK6457315474120150703,AK6457315474120150703,Alaska,64.53817,-154.75127,407220,MTBS Fire Occurrence Points,false,false
2015,United States,2,Soda,reported_name,mtbs:ID4311811696020150810,ID4311811696020150810,Idaho,43.32937,-116.91367,282664,MTBS Fire Occurrence Points,false,false
2015,United States,3,Tobatokh,reported_name,mtbs:AK6586715326720150622,AK6586715326720150622,Alaska,65.79081,-153.34711,220037,MTBS Fire Occurrence Points,false,false
2016,Canada,1,16Sr-Stone,reported_name,nrcan-nfdb:9501,SK-2016-16SR-STONE,Saskatchewan,58.59498,-107.36173,198544,Canadian National Fire Database large-fire points,false,false
2016,Canada,2,16Bn-Koop,reported_name,nrcan-nfdb:9741,SK-2016-16BN-KOOP,Saskatchewan,57.67403,-108.57757,59810,Canadian National Fire Database large-fire points,false,false
2016,Canada,3,16Bn-Brian,reported_name,nrcan-nfdb:9121,SK-2016-16BN-BRIAN,Saskatchewan,57.60012,-109.1866,53663,Canadian National Fire Database large-fire points,false,false
2016,United States,1,Anderson Creek Fire,reported_name,mtbs:OK3692409905720160323,OK3692409905720160323,Oklahoma,37.12092,-98.89429,374226,MTBS Fire Occurrence Points,false,false
2016,United States,2,Pioneer,reported_name,mtbs:ID4395011576220160718,ID4395011576220160718,Idaho,44.11872,-115.5837,189508,MTBS Fire Occurrence Points,false,false
2016,United States,3,Range 12,reported_name,mtbs:WA4659912020320160731,WA4659912020320160731,Washington,46.49058,-119.92423,167703,MTBS Fire Occurrence Points,false,false
2017,Canada,1,17Db-Granite,reported_name,nrcan-nfdb:9300,SK-2017-17DB-GRANITE,Saskatchewan,54.90478,-102.60695,303971,Canadian National Fire Database large-fire points,false,false
2017,Canada,2,17Lx-Engemman,reported_name,nrcan-nfdb:8240,SK-2017-17LX-ENGEMMAN,Saskatchewan,57.88842,-106.92393,124785,Canadian National Fire Database large-fire points,false,false
2017,Canada,3,17Db-Preston,reported_name,nrcan-nfdb:8824,SK-2017-17DB-PRESTON,Saskatchewan,55.31755,-103.07195,121373,Canadian National Fire Database large-fire points,false,false
2017,United States,1,Oks - Starbuck,reported_name,mtbs:OK3677410017520170307,OK3677410017520170307,Oklahoma,37.09741,-99.90309,656868,MTBS Fire Occurrence Points,false,false
2017,United States,2,Perryton,reported_name,mtbs:TX3608710053120170306,TX3608710053120170306,Texas,36.03714,-100.29311,290085,MTBS Fire Occurrence Points,false,false
2017,United States,3,Thomas,reported_name,mtbs:CA3442911910020171205,CA3442911910020171205,California,34.45012,-119.28644,282076,MTBS Fire Occurrence Points,false,false
2018,Canada,1,Rabbit Fire,reported_name,nrcan-nfdb:18333,PC-PA-2018-2018PA4,Parks Canada,53.6,-106.5,89946,Canadian National Fire Database large-fire points,false,false
2018,Canada,2,18Wy-Rabbit,reported_name,nrcan-nfdb:8514,SK-2018-18WY-RABBIT,Saskatchewan,53.5806,-106.39166,87515,Canadian National Fire Database large-fire points,false,false
2018,Canada,3,18Bn-Langly,reported_name,nrcan-nfdb:8367,SK-2018-18BN-LANGLY,Saskatchewan,57.25266,-108.97588,33221,Canadian National Fire Database large-fire points,false,false
2018,United States,1,Martin,reported_name,mtbs:NV4152811742720180705,NV4152811742720180705,Nevada,41.60213,-116.97469,431841,MTBS Fire Occurrence Points,false,false
2018,United States,2,Ranch,reported_name,mtbs:CA3924012311020180727,CA3924012311020180727,California,39.27886,-122.76003,426721,MTBS Fire Occurrence Points,false,false
2018,United States,3,Rhea,reported_name,mtbs:OK3585009921020180412,OK3585009921020180412,Oklahoma,35.99882,-99.07283,277724,MTBS Fire Occurrence Points,false,false
2019,Canada,1,Fire 3 - Lynx Lake,reported_name,nrcan-nfdb:18543,PC-WB-2019-2019WB3,Parks Canada,59.2879,-112.0985,194602,Canadian National Fire Database large-fire points,false,false
2019,Canada,2,Sass Lake,reported_name,nrcan-nfdb:18446,PC-WB-2019-2019WB9,Parks Canada,59.9124,-113.5574,45855,Canadian National Fire Database large-fire points,false,false
2019,Canada,3,19Bn-Trail,reported_name,nrcan-nfdb:9516,SK-2019-19BN-TRAIL,Saskatchewan,58.19378,-109.59457,45601,Canadian National Fire Database large-fire points,false,false
