year,geography,rank,fire_name,label_kind,normalized_record_id,source_record_id,region,latitude,longitude,acres,source_dataset,provisional,causal_smoke_attribution
1960,Canada,2,91,agency_incident_id,nrcan-nfdb:9838,SK-1960-091,Saskatchewan,56.1,-103.5,83035,Canadian National Fire Database large-fire points,false,false
1960,Canada,3,188,agency_incident_id,nrcan-nfdb:9587,SK-1960-188,Saskatchewan,57.43,-103.6,64025,Canadian National Fire Database large-fire points,false,false
1961,Canada,1,De4045,reported_name,nrcan-nfdb:6606,AB-1961-DE4-045-61,Alberta,53.83,-116.8713,31646,Canadian National Fire Database large-fire points,false,false
1961,Canada,2,Df4009,reported_name,nrcan-nfdb:6531,AB-1961-DF4-009-61,Alberta,58.7454,-115.1097,22935,Canadian National Fire Database large-fire points,false,false
1961,Canada,3,Df4006,reported_name,nrcan-nfdb:6538,AB-1961-DF4-006-61,Alberta,59.2016,-114.9467,19087,Canadian National Fire Database large-fire points,false,false
1962,Canada,1,Dw5008,reported_name,nrcan-nfdb:6722,AB-1962-DW5-008-62,Alberta,54.5358,-115.5856,2451,Canadian National Fire Database large-fire points,false,false
1962,Canada,2,20101,agency_incident_id,nrcan-nfdb:13259,QC-1962-20101,Quebec,50.9188,-79.2559,128001,Canadian National Fire Database large-fire points,false,false
1962,Canada,3,20102,agency_incident_id,nrcan-nfdb:13260,QC-1962-20102,Quebec,50.7281,-78.613,102400,Canadian National Fire Database large-fire points,false,false
1963,Canada,1,Da3004,reported_name,nrcan-nfdb:6630,AB-1963-DA3-004-63,Alberta,57.6024,-111.2152,2617,Canadian National Fire Database large-fire points,false,false
1963,Canada,2,Da4006,reported_name,nrcan-nfdb:6631,AB-1963-DA4-006-63,Alberta,58.1021,-110.9818,2491,Canadian National Fire Database large-fire points,false,false
1963,Canada,3,Da4002,reported_name,nrcan-nfdb:6644,AB-1963-DA4-002-63,Alberta,57.8113,-112.7505,2101,Canadian National Fire Database large-fire points,false,false
1964,Canada,1,Da1002,reported_name,nrcan-nfdb:6680,AB-1964-DA1-002-64,Alberta,56.1026,-111.7766,2678,Canadian National Fire Database large-fire points,false,false
1964,Canada,2,Dl4002,reported_name,nrcan-nfdb:6663,AB-1964-DL4-002-64,Alberta,55.3753,-112.5275,1574,Canadian National Fire Database large-fire points,false,false
1964,Canada,3,Dl1007,reported_name,nrcan-nfdb:6688,AB-1964-DL1-007-64,Alberta,54.7803,-110.062,1246,Canadian National Fire Database large-fire points,false,false
1965,Canada,1,Df1006,reported_name,nrcan-nfdb:6628,AB-1965-DF1-006-65,Alberta,58.7236,-114.49,53187,Canadian National Fire Database large-fire points,false,false
1965,Canada,2,Df1004,reported_name,nrcan-nfdb:6634,AB-1965-DF1-004-65,Alberta,57.5282,-114.5933,686,Canadian National Fire Database large-fire points,false,false
1965,Canada,3,1965-R00228,agency_incident_id,nrcan-nfdb:4328,BC-1965-1965-R00228,British Columbia,59.818,-127.808,61730,Canadian National Fire Database large-fire points,false,false
1966,Canada,1,Df6002,reported_name,nrcan-nfdb:6618,AB-1966-DF6-002-66,Alberta,59.4173,-118.4054,24395,Canadian National Fire Database large-fire points,false,false
1966,Canada,2,Df2007,reported_name,nrcan-nfdb:6647,AB-1966-DF2-007-66,Alberta,57.601,-115.6107,18877,Canadian National Fire Database large-fire points,false,false
1966,Canada,3,Ds5004,reported_name,nrcan-nfdb:6678,AB-1966-DS5-004-66,Alberta,55.8481,-115.7597,10100,Canadian National Fire Database large-fire points,false,false
1967,Canada,1,Dw6022,reported_name,nrcan-nfdb:6704,AB-1967-DW6-022-67,Alberta,54.6086,-117.0471,3068,Canadian National Fire Database large-fire points,false,false
1967,Canada,2,De2012,reported_name,nrcan-nfdb:6733,AB-1967-DE2-012-67,Alberta,53.9101,-117.7386,2521,Canadian National Fire Database large-fire points,false,false
1967,Canada,3,Dw4016,reported_name,nrcan-nfdb:6828,AB-1967-DW4-016-67,Alberta,53.7966,-113.9513,1681,Canadian National Fire Database large-fire points,false,false
1968,Canada,1,Ds2020,reported_name,nrcan-nfdb:6743,AB-1968-DS2-020-68,Alberta,54.4322,-114.335,401327,Canadian National Fire Database large-fire points,false,false
1968,Canada,2,Dl3004,reported_name,nrcan-nfdb:6696,AB-1968-DL3-004-68,Alberta,55.1389,-112.9442,114474,Canadian National Fire Database large-fire points,false,false
